i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
11462,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,alimentacion: establecimientos,salamanca,44511,37007,"ctra. vitigudino, km 1'1",0,0,mercasalamanca,tiendasdecomestibles
11465,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,panaderias,salamanca,44511,37003,"prol. vergara, 19",0,0,panaderia antonia carrero,tiendasdecomestibles
11495,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45112.csv,SALAMANCA,jugueterias,salamanca,45112,37004,"p.º estacion, s",0,0,poly,
11497,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45112.csv,SALAMANCA,jugueterias,salamanca,45112,37882,"ctra. alba-tormes, s",0,0,"toys r"" us """,
11510,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44619_audifonos.csv,SALAMANCA,audifonos y protesis auditivas,salamanca,44619,,,0,0,gaes,audifonos
11514,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44311_aparatoselectronicos.csv,SALAMANCA,chatarras y escorias, ,44311,,,0,0,arcediano recuperaciones,aparatoselectronicos
11526,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44311_aparatoselectronicos.csv,SALAMANCA,puertas: fabricantes y mayoristas, ,44311,,,0,0,manusa,aparatoselectronicos
11529,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44311_aparatoselectronicos.csv,SALAMANCA,seguridad y vigilancia: empresas, ,44311,,,0,0,seguridad integral secoex s.a.,aparatoselectronicos
11531,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44311_aparatoselectronicos.csv,SALAMANCA,acumuladores electricos: fabricantes y mayoristas, ,44311,,,0,0,tecnibat group,aparatoselectronicos
11562,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45311.csv,SALAMANCA,floristerias,salamanca,45311,,,0,0,solo rosas,
11567,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_ferreteria.csv,SALAMANCA,ferreterias, ,44411,,,0,0,comercial de ferreteria villamor,ferreteria
11573,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_ferreteria.csv,SALAMANCA,ferreterias,salamanca,44411,37008,"nobel (pol. montalvo), sn",0,0,hijo de nicolas benito s.a.,ferreteria
11582,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_ferreteria.csv,SALAMANCA,ferreterias,salamanca,44411,37008,"tierra de campos (pol. ind. montalvo ii), 48",0,0,suministros agricolas salamanca s.a.,ferreteria
11585,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articulosbaño.csv,SALAMANCA,calefaccion: materiales, ,44229,,,0,0,alcasa castilla,articulosbano
11587,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articulosbaño.csv,SALAMANCA,plastico articulos: fabricantes y mayoristas, ,44229,,,0,0,metacrilatoonline,articulosbano
11588,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articulosbaño.csv,SALAMANCA,plastico articulos: fabricantes y mayoristas, ,44229,,,0,0,plasticos ferplast s.l.,articulosbano
11594,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44132.csv,SALAMANCA,talleres mecanicos para automoviles, ,44132,,,0,0,autoreparados paco,
11599,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44132.csv,SALAMANCA,desguaces de vehiculos y maquinaria, ,44132,,,0,0,desguace don ocasion,
11602,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44132.csv,SALAMANCA,neumaticos: importacion y exportacion,salamanca,44132,37007,"ctra. vitigudino, km 0,5",0,0,neumaticos andres,
11614,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44132.csv,SALAMANCA,neumaticos: fabricantes y mayoristas, ,44132,,,0,0,vianeumaticos.com,
11616,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44313_camaras.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44313,,,0,0,el corte ingles,camaras
11620,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44313_camaras.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44313,,,0,0,hipercor,camaras
11622,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44313_camaras.csv,SALAMANCA,seguridad y vigilancia: empresas, ,44313,,,0,0,seguridad integral secoex s.a.,camaras
11627,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45211_grandesalmacenes.csv,SALAMANCA,centros comerciales y grandes almacenes, ,45211,,,0,0,el corte ingles,grandesalmacenes
11630,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45211_grandesalmacenes.csv,SALAMANCA,centros comerciales y grandes almacenes, ,45211,,,0,0,hipercor,grandesalmacenes
